Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
43.06,32.1061702710211,52.3710107128944,2.14243825636161,0.00445886160117964,-0.013880231533528,-0.0290407722462462,1.99995128203788,32.1699934556426,52.2693740648963,-0.117808789415323,-0.0135782850998659,-0.0498431391469691,-0.0290404735328691,2,0.0225804464819891
43.07,32.0955583482404,52.3879644389312,2.14193981984322,0.00427682421270857,-0.0141087349544139,-0.0288058928920878,1.99995171690414,32.1699934556426,52.2693740648963,-0.114890883831861,-0.0137949499201948,-0.0494400916998481,-0.0288056430442417,2,0.0234830488627445
43.08,32.0849531912539,52.4049223740829,2.141445414638,0.00409284177269364,-0.0143348876332964,-0.0285620297920612,1.99995214788869,32.1699934556426,52.2693740648963,-0.111927341064664,-0.0140093205846769,-0.0490216251466418,-0.0285618288088071,2,0.0243814235434571
43.09,32.0743546688503,52.4218844317134,2.14095519493699,0.00390694411882295,-0.014558655494496,-0.0283092265743891,1.9999525750262,32.1699934556426,52.2693740648963,-0.108918653414239,-0.014221364885307,-0.0485878143595897,-0.0283090744499271,2,0.025275435888005
43.1,32.063764808856,52.4388385014207,2.14048847591018,0.00371916137544438,-0.0147800048440835,-0.0280475282082352,1.99995053170858,32.0637669704998,52.4388316640889,-0.105865319964127,-0.0144310509632635,-0.0481387365091556,-0.0280474249299946,2,0.0261649519932421
43.11,32.0531788404757,52.4558083154742,2.14000708677249,0.00352948775124445,-0.01499890323747,-0.0277769731432426,1.99995097327243,32.0637669704998,52.4388316640889,-0.102767848535291,-0.0146383330432844,-0.047674456387931,-0.0277769179995924,2,0.0270506930402274
43.12,32.0425990983817,52.4727819848788,2.13953034126216,0.00333801891998479,-0.0152153014306593,-0.0274976152975343,1.99995141089479,32.0637669704998,52.4388316640889,-0.0996267527548381,-0.0148431928857547,-0.0471950695219203,-0.0274976093157364,2,0.0279308683855926
43.13,32.0320254418246,52.4897594180484,2.13905839046428,0.00314476506893804,-0.015429179378345,-0.0272095056005357,1.99995184461085,32.0637669704998,52.4388316640889,-0.0964425517030426,-0.0150456010350167,-0.0467006613368171,-0.0272095486506249,2,0.0288060665111534
43.14,32.0214577277442,52.5067405222086,2.13859138458979,0.00294975154975818,-0.0156405079460396,-0.0269126945492239,1.99995227445547,32.0637669704998,52.4388316640889,-0.0932157708024487,-0.0152455273649818,-0.0461913183976409,-0.0269127864402696,2,0.0296762210355314
43.15,32.0108958107815,52.5237252034045,2.13812947298297,0.00275300824884063,-0.0158492558631772,-0.0266072336504058,1.99995270046321,32.0637669704998,52.4388316640889,-0.0899469418520136,-0.015442941843816,-0.0456671292156615,-0.0266073742546406,2,0.0305412185629014
43.16,32.0003395433008,52.540713366514,2.13767280410405,0.00255456651315294,-0.0160553916485798,-0.0262931756924962,1.99995312266833,32.0637669704998,52.4388316640889,-0.0866366029769415,-0.015637814746287,-0.045128184460132,-0.0262933649210293,2,0.031400933361129
43.17,31.9897887754148,52.557704915263,2.13722152550724,0.00235445826939461,-0.0162588841141288,-0.0259705747723691,1.99995354110475,32.0637669704998,52.4388316640889,-0.0832852985554361,-0.0158301167104368,-0.0445745770022999,-0.0259708125496916,2,0.0322552371337717
43.18,31.97924335501,52.5746997522396,2.13677578381827,0.00215271577527444,-0.0164597024793813,-0.0256394862818223,1.99995395580613,32.0637669704998,52.4388316640889,-0.0798935791393952,-0.0160198187519942,-0.0440064019138501,-0.02563977253294,2,0.0331040016751553
43.19,31.9687031277721,52.5916977789097,2.13633572471216,0.00194937155041053,-0.0166578163873905,-0.025299966892391,1.9999543668058,32.0637669704998,52.4388316640889,-0.0764620013735368,-0.0162068922682652,-0.0434237564539132,-0.0253003015375749,2,0.0339470995365131
43.2,31.9581691080547,52.6086885460491,2.135920152514,0.00174445835680771,-0.016853195900126,-0.0249520745430406,1.99995272727822,31.9581706470721,52.6086827179913,-0.0729911279139894,-0.0163913090399824,-0.0428267400537363,-0.0249524574959525,2,0.0347844041622346
43.21,31.9476384892116,52.6256924383053,2.13549189168621,0.0015379739442677,-0.017045812343457,-0.0245958607837767,1.99995314924398,31.9581706470721,52.6086827179913,-0.0694815293221336,-0.0165730273408269,-0.0422154400219013,-0.0245962912773121,2,0.0356166218640434
43.22,31.9371125874416,52.642699218266,2.1350697446747,0.00133001483265546,-0.0172356207286647,-0.0242313921859692,1.99995356744319,31.9581706470721,52.6086827179913,-0.0659337812012696,-0.0167520322974503,-0.0415899735234421,-0.0242318711463761,2,0.0364420130936032
43.23,31.926591239886,52.6597087830403,2.13465385316002,0.00112059425647736,-0.0174226045462328,-0.0238587323668488,1.99995398190946,31.9581706470721,52.6086827179913,-0.0623484638442108,-0.016928298157688,-0.0409504478126039,-0.0238592595934716,2,0.0372611552904469
43.24,31.9160742816353,52.6767210286962,2.13424435773086,0.000909740179263158,-0.0176067384803058,-0.0234779444770738,1.99995439267613,31.9581706470721,52.6086827179913,-0.0587261630900914,-0.0171017985580828,-0.0402969711751334,-0.023478519709917,2,0.0380739883554576
43.25,31.9055615457456,52.6937358502674,2.13384139789203,0.00069748494193013,-0.0177879951791929,-0.0230890926035055,1.99995479977621,31.9581706470721,52.6086827179913,-0.0550674703488691,-0.017272507268,-0.0396296537111011,-0.0230897156441235,2,0.038880406579349
43.26,31.895052863266,52.7107531417662,2.13344511204837,0.000483862268762876,-0.0179663471299142,-0.0226922420321479,1.99995520324244,31.9581706470721,52.6086827179913,-0.0513729825438325,-0.0174403983959631,-0.0389486075381362,-0.0226929127200074,2,0.0396802924116175
43.27,31.8845480632677,52.7277727961982,2.13305563748423,0.000268906409286653,-0.0181417671482117,-0.0222874592725854,1.99995560310724,31.9581706470721,52.6086827179913,-0.0476433020317223,-0.0176054464444323,-0.038253946831351,-0.022288177460251,2,0.0404735259756364
43.28,31.8740469728739,52.7447947055756,2.13267311034241,5.26518957047068e-05,-0.0183142284897213,-0.0218748120431013,1.99995599940278,31.9581706470721,52.6086827179913,-0.0438790365170391,-0.0177676263234538,-0.0375457878189034,-0.0218755775837182,2,0.0412599876532811
43.29,31.8635494172906,52.7618187609325,2.13229766560345,-0.000164866524745606,-0.0184837048649575,-0.0214543692541961,1.9999563921609,31.9581706470721,52.6086827179913,-0.0400807989649022,-0.0179269133540844,-0.0368242487664415,-0.0214551819963904,2,0.0420395587327803
43.3,31.85305516154,52.7788367564269,2.13194724564161,-0.000383613909157715,-0.0186501704344543,-0.0210262009949185,1.99995529017474,31.8530559161943,52.7788322843336,-0.0362492075134638,-0.0180832832698447,-0.0360894499592832,-0.0210270607809841,2,0.042812121540626
