Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
72.655,-20.1451911438444,63.5394001714954,-2.51752167881178,0.00920902817360346,0.0176571805272441,-0.0119452036311186,2
72.66,-20.1533363360032,63.5335988057552,-2.51771978548604,0.00929698439108603,0.0175247767317934,-0.012348285959478,2
72.665,-20.1614836693711,63.5278004474746,-2.51771978548604,0.0093842833095597,0.017394265124886,-0.0127483030898826,2
72.67,-20.169631990802,63.522003477782,-2.51793172984125,0.00947092181089526,0.0172605993111132,-0.0131483202202871,2
72.675,-20.1777825243704,63.5162096187648,-2.51793172984125,0.00955689684403842,0.0171288822262139,-0.0135452149532667,2
72.68,-20.1859340375437,63.5104171380573,-2.51815740681653,0.00964220534006452,0.0169939738009665,-0.0139421096862463,2
72.685,-20.1940878328867,63.504627870291,-2.51815740681653,0.00972684429514634,0.0168610704033922,-0.0143358252608509,2
72.69,-20.2022425992337,63.4988399703616,-2.5183967093941,0.0098108106901362,0.0167249390045748,-0.0147295408354556,2
72.695,-20.2103997168745,63.4930553846753,-2.5183967093941,0.00989410156899385,0.0165908686814866,-0.015120020938911,2
72.7,-20.2185577967774,63.4872721561594,-2.5186495286138,0.00997671396291415,0.0164535341753556,-0.0155105010423663,2
72.705,-20.2267182961763,63.4814923422062,-2.5186495286138,0.010058644975222,0.0163183209560257,-0.0158976871467113,2
72.71,-20.2348797489497,63.4757138745545,-2.51891575358785,0.0101398916992975,0.0161798079354762,-0.0162848732510562,2
72.715,-20.2430436884909,63.4699389207933,-2.51891575358785,0.0102204512773739,0.016043467639018,-0.0166687124837629,2
72.72,-20.2512085723883,63.4641653022816,-2.51919527142429,0.0103003208440721,0.0159037923458388,-0.0170525517164696,2
72.725,-20.2593760093879,63.458395295987,-2.51919527142429,0.0103794975900148,0.0157663445925697,-0.0174329894287974,2
72.73,-20.2675443815909,63.4526266136995,-2.51948796742051,0.0104579787007579,0.0156255271379536,-0.0178134271411251,2
72.735,-20.2757153722798,63.4468616409375,-2.51948796742051,0.010535761416641,0.015486992077753,-0.0181904089688367,2
72.74,-20.2838872888868,63.4410979807503,-2.51979372500177,0.0106128429755047,0.0153450531141178,-0.0185673907965483,2
72.745,-20.2920618884024,63.4353381263642,-2.51979372500177,0.0106892206681362,0.0152054511870337,-0.01894086281882,2
72.75,-20.3002374044197,63.4295795729314,-2.52011242573031,0.0107648917853997,0.0150624116644801,-0.0193143348410918,2
72.755,-20.3084156667977,63.4238249205292,-2.52011242573031,0.0108398536690904,0.0149217635324831,-0.0196842436308968,2
72.76,-20.3165948361326,63.4180715572707,-2.52044394932009,0.010914103663661,0.0147776446293371,-0.0200541524207018,2
72.765,-20.3247768142997,63.4123221892123,-2.52044394932009,0.0109876391624256,0.014635971156244,-0.0204204450645874,2
72.77,-20.3329596897521,63.4065740983009,-2.52078817365313,0.0110604575639383,0.0144907942585963,-0.020786737708473,2
72.775,-20.3411454355188,63.4008300956857,-2.52078817365313,0.0111325563135252,0.0143481165029998,-0.0211493618179978,2
72.78,-20.3493320687751,63.3950873580346,-2.5211449747966,0.0112039328643372,0.0142019031974745,-0.0215119859275226,2
72.785,-20.357521632829,63.3893488006888,-2.5211449747966,0.011274584714196,0.0140582424088404,-0.0218708896485714,2
72.79,-20.3657120744545,63.3836114959396,-2.52151422702028,0.011344509371334,0.0139110144785856,-0.0222297933696202,2
72.795,-20.3739055063539,63.3778784624041,-2.52151422702028,0.0114137043865438,0.0137663920938902,-0.0225849253912522,2
72.8,-20.3820998057867,63.3721466689139,-2.52189580281437,0.0114821673236154,0.0136181715151177,-0.0229400574128843,2
72.805,-20.3902971539505,63.3664192364267,-2.52189580281437,0.0115498957996541,0.0134726143207031,-0.0232913638553271,2
72.81,-20.3984953594843,63.3606930312402,-2.52228957290756,0.0116168874476535,0.0133234285156928,-0.0236426702977699,2
72.815,-20.4066966711821,63.3549712757182,-2.52228957290756,0.0116831399269616,0.0131769536377755,-0.0239901038991855,2
72.82,-20.4148988299783,63.3492507345813,-2.52269540617833,0.0117486509151296,0.0130268202019436,-0.0243375375006011,2
72.825,-20.4231041513434,63.3435347306348,-2.52269540617833,0.0118134181246403,0.01287944913351,-0.0246810489378979,2
72.83,-20.4313103094228,63.3378199279787,-2.52311316988161,0.0118774392887375,0.0127283901066642,-0.0250245603751948,2
72.835,-20.4395196854376,63.3321097488858,-2.52311316988161,0.0119407121744078,0.0125801448866055,-0.0253641006674968,2
72.84,-20.4477298876718,63.3264007578104,-2.52354272957752,0.0120032345719772,0.0124281828660192,-0.0257036409597987,2
72.845,-20.455943362162,63.3206964755042,-2.52354272957752,0.0120650043036074,0.0122790857993779,-0.0260391616514776,2
72.85,-20.464157652268,63.3149933677652,-2.52398394914259,0.0121260192173828,0.0121262436551876,-0.0263746823431564,2
72.855,-20.4723752678977,63.3092950528215,-2.52398394914259,0.0121862771911129,0.0119763172332979,-0.0267061355601391,2
72.86,-20.4805936884335,63.3035978988188,-2.52443669078726,0.0122457761311121,0.0118226180272272,-0.0270375887771218,2
72.865,-20.4888154867009,63.2979056204448,-2.52443669078726,0.0123045139712519,0.0116718849041375,-0.0273649272474506,2
72.87,-20.4970380790607,63.2922144892109,-2.52490081507542,0.0123624886764886,0.0115173518654706,-0.0276922657177793,2
72.875,-20.5052641002944,63.286528315233,-2.52490081507542,0.0124196982371486,0.0113658348495853,-0.0280154427824176,2
72.88,-20.5134909047051,63.2808432744215,-2.52537618094455,0.0124761406772203,0.0112104913666213,-0.0283386198470558,2
72.885,-20.5217211880599,63.2751632712749,-2.52537618094455,0.012531814043867,0.0110582134160736,-0.0286575894682039,2
72.89,-20.5299522435774,63.2694843871491,-2.52586264572631,0.0125867164204873,0.0109020830313764,-0.0289765590893519,2
72.895,-20.5381868270315,63.2638106198656,-2.52586264572631,0.0126408459114532,0.0107490672500628,-0.0292912758582035,2
72.9,-20.5464221715371,63.2581379572875,-2.52636006516741,0.0126942006599414,0.0105921736563841,-0.029605992627055,2
72.905,-20.5546610918848,63.2524704894792,-2.52636006516741,0.0127467788420959,0.0104384489871417,-0.0299164083303799,2
72.91,-20.5629007620699,63.2468041118802,-2.52686829345076,0.0127985786757642,0.0102808218211564,-0.0302268240337048,2
72.915,-20.5711440549142,63.2411430057214,-2.52686829345076,0.0128495983821606,0.0101264064904397,-0.0305328977814791,2
72.92,-20.5793880862979,63.2354829751205,-2.52738718309874,0.0128998362264614,0.00996806448677374,-0.0308389715292534,2
72.925,-20.5876357860685,63.2298282913666,-2.52738718309874,0.0129492904868102,0.00981298147575934,-0.0311406601826221,2
72.93,-20.5958842129916,63.2241746683551,-2.52791658522422,0.0129979594878355,0.00965394820769198,-0.0314423488359907,2
72.935,-20.6041363529322,63.2185264663167,-2.52791658522422,0.0130458415659657,0.00949822103783841,-0.0317396096553603,2
72.94,-20.6123892085516,63.2128793100419,-2.52845634945302,0.0130929351066547,0.00933852062997655,-0.0320368704747298,2
72.945,-20.6206458207175,63.2072376475731,-2.52845634945302,0.0131392385052021,0.00918217305432771,-0.0323296613195206,2
72.95,-20.6289031370038,63.2015970157274,-2.52900632393713,0.0131847502084732,0.00902182986855928,-0.0326224521643113,2
72.955,-20.6371642522599,63.195961949215,-2.52900632393713,0.0132294686710051,0.00886488578355081,-0.0329107315529658,2
72.96,-20.6454260599957,63.1903278980251,-2.52956635537498,0.0132733924014353,0.00870392432928921,-0.0331990109416203,2
72.965,-20.6536917080153,63.1846994823782,-2.52956635537498,0.01331651991384,0.00854640774866148,-0.0334827380721821,2
72.97,-20.6619580367941,63.1790720665949,-2.53013628903368,0.0133588497789228,0.00838485265626477,-0.0337664652027439,2
72.975,-20.670228246058,63.1734503552351,-2.53013628903368,0.0134003805705777,0.00822678770179303,-0.03404559996267,2
72.98,-20.6784991242834,63.1678296281235,-2.53071596877202,0.0134411109218448,0.00806466371308995,-0.0343247347225961,2
72.985,-20.6867739220792,63.1622146729745,-2.53071596877202,0.0134810394667011,0.00790607460945968,-0.0345992376958109,2
72.99,-20.6950493769639,63.156600686304,-2.5313052370638,0.0135201649007806,0.00774340657249269,-0.0348737406690256,2
72.995,-20.7033287893858,63.1509925377826,-2.5313052370638,0.0135584859183984,0.00758431764293642,-0.0351435731423491,2
73,-20.7116088469516,63.145385341817,-2.53190393502149,0.013596001278028,0.00742113050747974,-0.0354134056156726,2
73.005,-20.7198928988959,63.1397840488164,-2.53190393502149,0.0136327097496555,0.0072615722228792,-0.0356785259300749,2
73.01,-20.7281775839606,63.1341836922857,-2.53251190242003,0.0136686101702731,0.00709789719639598,-0.0359436462444771,2
73.015,-20.7364662991214,63.1285893021598,-2.53251190242003,0.0137037013570254,0.00693788858447069,-0.0362040205506802,2
73.02,-20.7447556353199,63.122995832281,-2.53312897759538,0.0137379821962251,0.00677374523245007,-0.0364643948568832,2
73.025,-20.7530490362107,63.117408390866,-2.53312897759538,0.0137714515646352,0.00661331031636742,-0.0367199869462134,2
73.03,-20.7613430459925,63.1118218533301,-2.53375499771252,0.0138041084106247,0.00644872328742289,-0.0369755790355436,2
